Year,Alpha3,Country,Fitch,Moody,S&P
2018,ARE,United Arab Emirates,6.0,3.0,3.0
2019,ARE,United Arab Emirates,6.0,3.0,3.0
2020,ARE,United Arab Emirates,4.0,3.0,3.0
2021,ARE,United Arab Emirates,3.721712389588223,3.0,3.0
2022,ARE,United Arab Emirates,3.721712389588223,3.0,3.0
2023,ARE,United Arab Emirates,3.721712389588223,3.0,3.0
2024,ARE,United Arab Emirates,3.392602010517185,3.1024460666475107,3.0
2006,ARG,Argentina,13.0,12.0,15.761784282509822
2007,ARG,Argentina,13.0,12.625,15.99361504430492
2008,ARG,Argentina,12.0,13.25,16.56593934590929
2009,ARG,Argentina,13.0,14.565280725576628,16.711828172042104
2010,ARG,Argentina,15.0,13.437758286429125,15.0
2011,ARG,Argentina,15.0,13.810358900128351,15.5
2012,ARG,Argentina,15.0,14.182959513827578,16.0
2013,ARG,Argentina,13.0,14.780026725472508,17.0
2014,ARG,Argentina,13.0,17.0,19.0
2015,ARG,Argentina,14.0,13.0,17.5
2016,ARG,Argentina,14.0,14.0,16.0
2017,ARG,Argentina,14.0,16.0,15.0
2018,ARG,Argentina,14.0,14.0,15.0
2019,ARG,Argentina,14.0,13.0,16.0
2020,ARG,Argentina,13.0,20.0,19.0
2021,ARG,Argentina,16.0,13.0,14.0
2022,ARG,Argentina,19.0,13.0,14.0
2023,ARG,Argentina,21.0,13.0,14.0
2024,ARG,Argentina,12.647245685608734,15.499100496288383,18.0
2006,ARM,Armenia,13.187576774152864,12.0,14.0
2007,ARM,Armenia,13.232003589733228,12.11111111111111,14.0
2008,ARM,Armenia,13.276430405313596,12.22222222222222,14.0
2009,ARM,Armenia,13.57371270094832,12.965722870426076,14.0
2010,ARM,Armenia,13.57371270094832,12.965722870426076,14.0
2011,ARM,Armenia,13.57371270094832,12.965722870426076,14.0
2012,ARM,Armenia,13.57371270094832,12.965722870426076,14.0
2013,ARM,Armenia,13.57371270094832,12.965722870426076,14.0
2014,ARM,Armenia,13.0,12.221063982205685,14.0
2015,ARM,Armenia,14.0,13.0,14.0
2016,ARM,Armenia,14.0,14.0,14.0
2017,ARM,Armenia,14.0,14.0,14.0
2018,ARM,Armenia,14.0,14.0,14.0
2019,ARM,Armenia,14.0,13.0,14.0
2020,ARM,Armenia,13.0,13.0,14.0
2021,ARM,Armenia,13.587418114376169,13.0,14.0
2022,ARM,Armenia,13.587418114376169,13.0,14.0
2023,ARM,Armenia,13.587418114376169,13.0,14.0
2024,ARM,Armenia,13.57371270094832,12.965722870426076,14.0
2006,AUS,Australia,1.5412468132662949,1.5198934023483508,1.7419888558940106
2007,AUS,Australia,1.5412468132662949,1.5198934023483508,1.7419888558940106
2008,AUS,Australia,1.5412468132662949,1.5198934023483508,1.7419888558940106
2009,AUS,Australia,1.5412468132662949,1.5198934023483508,1.7419888558940106
2010,AUS,Australia,1.5412468132662949,1.5198934023483508,1.7419888558940106
2011,AUS,Australia,1.0,1.1208902699386734,1.8393835050099088
2012,AUS,Australia,1.0,1.43918882821544,2.0
2013,AUS,Australia,1.0,1.2184285347227697,1.8888888888888888
2014,AUS,Australia,1.0,1.0,1.7777777777777777
2015,AUS,Australia,2.0,1.0,1.2269948716767276
2016,AUS,Australia,2.0,2.0,1.730959787832567
2017,AUS,Australia,2.0,2.0,1.730959787832567
2018,AUS,Australia,2.0,2.0,1.730959787832567
2019,AUS,Australia,2.0,2.0,1.730959787832567
2020,AUS,Australia,2.0,2.0,1.730959787832567
2021,AUS,Australia,2.868756489035317,1.5,1.0
2022,AUS,Australia,0.5984823221148816,1.0,2.0
2023,AUS,Australia,1.5117342524630375,2.0,2.0
2024,AUS,Australia,0.5984823221148816,1.0,2.0
2006,AUT,Austria,1.683204100493063,1.090313854086449,1.7895807371475083
2007,AUT,Austria,1.683204100493063,1.090313854086449,1.7895807371475083
2008,AUT,Austria,1.683204100493063,1.090313854086449,1.7895807371475083
2009,AUT,Austria,1.683204100493063,1.090313854086449,1.7895807371475083
2010,AUT,Austria,1.683204100493063,1.090313854086449,1.7895807371475083
2011,AUT,Austria,2.0,1.091526429614582,1.7167108249024854
2012,AUT,Austria,1.0,1.1154047579077262,2.0
2013,AUT,Austria,1.0,1.057462769687994,1.8888888888888888
2014,AUT,Austria,1.0,1.0,1.7777777777777777
2015,AUT,Austria,1.0,1.0,1.7784588047493264
2016,AUT,Austria,1.0,1.0,1.7784588047493264
2017,AUT,Austria,1.0,1.0,1.7784588047493264
2018,AUT,Austria,1.0,1.0,1.7784588047493264
2019,AUT,Austria,1.0,1.0,1.7784588047493264
2020,AUT,Austria,1.0,1.0,1.7784588047493264
2021,AUT,Austria,4.280122372227549,1.0,1.0
2022,AUT,Austria,0.0672863911328156,1.0,2.0
2023,AUT,Austria,8.150162252409864,2.0,2.0
2024,AUT,Austria,0.0672863911328156,1.0,2.0
2006,AZE,Azerbaijan,10.657432240119894,11.0,10.708380866492522
2007,AZE,Azerbaijan,11.0,10.833333333333334,11.15265083152727
2008,AZE,Azerbaijan,10.666666666666666,10.666666666666666,11.0
2009,AZE,Azerbaijan,10.333333333333334,10.188729681445867,10.666666666666666
2010,AZE,Azerbaijan,10.0,9.968996489474748,10.333333333333334
2011,AZE,Azerbaijan,10.0,10.663482457042589,10.0
2012,AZE,Azerbaijan,10.0,10.0,10.2
2013,AZE,Azerbaijan,10.0,10.0,10.4
2014,AZE,Azerbaijan,10.0,10.0,10.312938406304555
2015,AZE,Azerbaijan,10.0,10.0,10.312938406304555
2016,AZE,Azerbaijan,11.0,11.0,11.0
2017,AZE,Azerbaijan,11.0,11.0,11.0
2018,AZE,Azerbaijan,11.0,11.5,11.0
2019,AZE,Azerbaijan,11.0,12.0,10.748542439859753
2020,AZE,Azerbaijan,11.0,12.0,10.748542439859753
2021,AZE,Azerbaijan,11.22090457318016,12.0,11.0
2022,AZE,Azerbaijan,10.657432240119894,11.0,10.708380866492522
2023,AZE,Azerbaijan,10.657432240119894,11.0,10.708380866492522
2024,AZE,Azerbaijan,10.657432240119894,11.0,10.708380866492522
2006,BEL,Belgium,2.0,4.0,3.0
2007,BEL,Belgium,2.0,4.0,3.0
2008,BEL,Belgium,2.0,4.0,3.0
2009,BEL,Belgium,3.0,4.0,3.0
2010,BEL,Belgium,3.0,4.0,3.0
2011,BEL,Belgium,2.0,4.0,3.0
2012,BEL,Belgium,3.0,4.0,3.0
2013,BEL,Belgium,3.0,4.0,3.0
2014,BEL,Belgium,3.0,4.0,3.0
2015,BEL,Belgium,3.0,4.0,3.0
2016,BEL,Belgium,3.0,4.0,3.0
2017,BEL,Belgium,4.0,4.0,3.0
2018,BEL,Belgium,4.0,4.0,3.0
2019,BEL,Belgium,4.0,4.0,3.0
2020,BEL,Belgium,4.0,4.0,3.0
2021,BEL,Belgium,3.0,4.0,3.0
2022,BEL,Belgium,3.0,4.0,3.0
2023,BEL,Belgium,3.0,4.0,3.0
2024,BEL,Belgium,3.0,4.0,3.0
2006,BGD,Bangladesh,13.0,13.21428571428571,13.044160919815887
2007,BGD,Bangladesh,13.0,13.21428571428571,13.044160919815887
2008,BGD,Bangladesh,13.0,13.21428571428571,13.044160919815887
2009,BGD,Bangladesh,13.0,13.21428571428571,13.044160919815887
2010,BGD,Bangladesh,13.0,13.0,13.0
2011,BGD,Bangladesh,13.0,13.0,13.0
2012,BGD,Bangladesh,13.0,13.0,13.0
2013,BGD,Bangladesh,13.0,13.21428571428571,13.044160919815887
2014,BGD,Bangladesh,13.0,13.0,12.95758365304694
2015,BGD,Bangladesh,13.0,13.0,12.95758365304694
2016,BGD,Bangladesh,13.0,13.0,12.95758365304694
2017,BGD,Bangladesh,13.0,13.0,12.95758365304694
2018,BGD,Bangladesh,13.0,13.0,12.95758365304694
2019,BGD,Bangladesh,13.0,13.0,12.95758365304694
2020,BGD,Bangladesh,13.0,13.0,12.95758365304694
2021,BGD,Bangladesh,13.0,13.0,12.95758365304694
2022,BGD,Bangladesh,13.0,13.0,12.95758365304694
2023,BGD,Bangladesh,13.0,14.0,13.0
2024,BGD,Bangladesh,13.0,15.0,14.0
2006,BGR,Bulgaria,9.637724870616548,10.0,10.009978174484154
2007,BGR,Bulgaria,9.640007438355507,9.8,9.931190287356198
2008,BGR,Bulgaria,9.0,9.6,9.0
2009,BGR,Bulgaria,10.0,7.773630780338256,9.166666666666666
2010,BGR,Bulgaria,10.0,8.050716398590753,9.333333333333334
2011,BGR,Bulgaria,10.0,9.0,9.857034464536856
2012,BGR,Bulgaria,10.0,9.0,9.857034464536856
2013,BGR,Bulgaria,10.0,9.0,9.857034464536856
2014,BGR,Bulgaria,10.0,9.159058871600733,10.0
2015,BGR,Bulgaria,10.0,9.0,10.0
2016,BGR,Bulgaria,10.0,9.0,10.0
2017,BGR,Bulgaria,10.0,9.0,10.0
2018,BGR,Bulgaria,9.0,9.0,9.5
2019,BGR,Bulgaria,9.0,9.0,9.0
2020,BGR,Bulgaria,9.0,8.0,9.0
2021,BGR,Bulgaria,9.444977729476522,8.0,9.0
2022,BGR,Bulgaria,9.660550548006167,8.0,9.222099303204606
2023,BGR,Bulgaria,9.444977729476522,8.0,9.0
2024,BGR,Bulgaria,9.657124350885065,8.799078113918316,9.540798397703078
2006,BHR,Bahrain,7.0,7.0,8.258154660946431
2007,BHR,Bahrain,6.0,6.0,7.534313230626073
2008,BHR,Bahrain,6.0,6.333333333333333,7.789121552147296
2009,BHR,Bahrain,6.0,6.666666666666667,8.043929873668517
2010,BHR,Bahrain,6.8445013780092285,7.0,8.264465344596783
2011,BHR,Bahrain,6.0,8.0,9.0
2012,BHR,Bahrain,9.0,8.5,9.25
2013,BHR,Bahrain,9.0,9.0,9.5
2014,BHR,Bahrain,9.0,9.5,10.088050003868982
2015,BHR,Bahrain,10.0,10.0,10.0
2016,BHR,Bahrain,11.0,11.0,12.0
2017,BHR,Bahrain,11.0,14.0,14.0
2018,BHR,Bahrain,13.0,15.0,14.0
2019,BHR,Bahrain,13.0,15.0,14.0
2020,BHR,Bahrain,14.0,15.0,14.089469637752613
2021,BHR,Bahrain,13.18797599491542,15.0,14.0
2022,BHR,Bahrain,13.18797599491542,15.0,14.0
2023,BHR,Bahrain,13.18797599491542,15.0,14.0
2024,BHR,Bahrain,13.197624310378112,15.0,14.122032879028378
2006,BHS,Bahamas,,9.432168671509736,10.786179121182291
2007,BHS,Bahamas,,9.432168671509736,10.786179121182291
2008,BHS,Bahamas,,9.432168671509736,10.786179121182291
2009,BHS,Bahamas,,6.691668298529802,8.0
2010,BHS,Bahamas,,7.183453800378789,8.5
2011,BHS,Bahamas,,7.675239302227776,9.0
2012,BHS,Bahamas,,8.0,9.25
2013,BHS,Bahamas,,8.5,9.5
2014,BHS,Bahamas,,9.0,10.35911210031727
2015,BHS,Bahamas,,9.0,10.0
2016,BHS,Bahamas,,9.0,11.0
2017,BHS,Bahamas,,10.0,11.25
2018,BHS,Bahamas,,10.0,11.5
2019,BHS,Bahamas,,10.0,11.347307332917328
2020,BHS,Bahamas,,10.0,12.0
2021,BHS,Bahamas,,13.0,14.0
2022,BHS,Bahamas,,14.0,15.30008826331756
2023,BHS,Bahamas,,9.432168671509736,10.786179121182291
2024,BHS,Bahamas,,9.432168671509736,10.786179121182291
2006,BIH,Bosnia and Herzegovina,,15.0,13.494281730938155
2007,BIH,Bosnia and Herzegovina,,15.166666666666666,13.744972996440024
2008,BIH,Bosnia and Herzegovina,,15.333333333333334,14.0
2009,BIH,Bosnia and Herzegovina,,15.561219277765671,14.333333333333334
2010,BIH,Bosnia and Herzegovina,,15.781439842246751,14.666666666666666
2011,BIH,Bosnia and Herzegovina,,16.001660406727837,15.0
2012,BIH,Bosnia and Herzegovina,,16.0,15.0
2013,BIH,Bosnia and Herzegovina,,16.0,15.0
2014,BIH,Bosnia and Herzegovina,,16.0,14.99842932394936
2015,BIH,Bosnia and Herzegovina,,15.824684418152238,14.73472881349569
2016,BIH,Bosnia and Herzegovina,,16.0,14.99842932394936
2017,BIH,Bosnia and Herzegovina,,16.0,14.99842932394936
2018,BIH,Bosnia and Herzegovina,,16.0,14.99842932394936
2019,BIH,Bosnia and Herzegovina,,16.0,14.99842932394936
2020,BIH,Bosnia and Herzegovina,,16.0,14.99842932394936
2021,BIH,Bosnia and Herzegovina,,16.0,14.99842932394936
2022,BIH,Bosnia and Herzegovina,,16.0,14.99842932394936
2023,BIH,Bosnia and Herzegovina,,16.0,15.0
2024,BIH,Bosnia and Herzegovina,,16.0,14.99842932394936
2006,BLR,Belarus,15.67292563325129,16.328124999999996,16.01127237050385
2007,BLR,Belarus,14.338860454401232,14.0,15.089743682903052
2008,BLR,Belarus,14.482115775620032,14.25,15.188699783585015
2009,BLR,Belarus,14.62537109683883,14.5,15.28765588426698
2010,BLR,Belarus,15.67292563325129,16.328124999999996,16.01127237050385
2011,BLR,Belarus,14.964449004788184,15.0,16.0
2012,BLR,Belarus,15.213705127005657,15.5,15.833333333333334
2013,BLR,Belarus,15.46296124922313,16.0,15.666666666666666
2014,BLR,Belarus,15.771413666589217,16.5,16.0793046897227
2015,BLR,Belarus,16.057924309026816,17.0,16.27721689108663
2016,BLR,Belarus,16.0,17.0,16.270200108985108
2017,BLR,Belarus,16.0,16.5,15.0
2018,BLR,Belarus,15.0,16.0,15.6
2019,BLR,Belarus,15.0,16.0,16.2
2020,BLR,Belarus,15.0,16.0,15.822557364178868
2021,BLR,Belarus,16.5,16.0,16.004465021335175
2022,BLR,Belarus,18.0,20.0,18.0
2023,BLR,Belarus,18.350009448527587,21.0,17.860514501998072
2024,BLR,Belarus,15.67292563325129,16.328124999999996,16.01127237050385
2006,BLZ,Belize,,16.97222222222222,17.07507337976043
2007,BLZ,Belize,,17.0,17.07505926826804
2008,BLZ,Belize,,16.5,17.075313275131066
2009,BLZ,Belize,,16.0,17.075567281994097
2010,BLZ,Belize,,16.333333333333332,17.07539794408541
2011,BLZ,Belize,,16.666666666666668,16.0
2012,BLZ,Belize,,17.0,16.0
2013,BLZ,Belize,,18.0,16.0
2014,BLZ,Belize,,18.0,16.333333333333332
2015,BLZ,Belize,,18.0,16.666666666666668
2016,BLZ,Belize,,17.0,17.0
2017,BLZ,Belize,,16.0,17.25
2018,BLZ,Belize,,16.0,17.5
2019,BLZ,Belize,,16.0,17.075567281994097
2020,BLZ,Belize,,17.0,18.0
2021,BLZ,Belize,,17.5,20.0
2022,BLZ,Belize,,18.0,17.074551254541984
2023,BLZ,Belize,,17.5,17.07480526140501
2024,BLZ,Belize,,17.0,17.07505926826804
2006,BOL,Bolivia,14.324953448876412,14.405986238234744,14.999104516179054
2007,BOL,Bolivia,16.0,16.166655243988615,14.99642519506406
2008,BOL,Bolivia,15.5,15.641097044236766,14.997224970170016
2009,BOL,Bolivia,15.0,15.0,14.998078396624363
2010,BOL,Bolivia,14.0,14.0,14.999654210544197
2011,BOL,Bolivia,14.0,13.5,14.0
2012,BOL,Bolivia,13.0,13.0,13.0
2013,BOL,Bolivia,13.0,13.0,16.0
2014,BOL,Bolivia,13.0,13.0,12.0
2015,BOL,Bolivia,12.0,13.0,18.0
2016,BOL,Bolivia,13.0,13.0,18.5
2017,BOL,Bolivia,13.0,13.0,19.0
2018,BOL,Bolivia,13.0,13.0,13.0
2019,BOL,Bolivia,13.0,13.0,13.5
2020,BOL,Bolivia,15.0,14.0,14.0
2021,BOL,Bolivia,15.333333333333334,15.0,14.0
2022,BOL,Bolivia,15.666666666666666,16.0,15.0
2023,BOL,Bolivia,16.0,17.0,15.0
2024,BOL,Bolivia,18.349162079775432,19.0,14.992498518820357
2006,BRA,Brazil,12.0,12.0,12.431897898723095
2007,BRA,Brazil,12.0,11.0,11.781771215449906
2008,BRA,Brazil,10.0,10.5,10.0
2009,BRA,Brazil,10.0,10.0,9.666666666666666
2010,BRA,Brazil,10.0,9.5,9.333333333333334
2011,BRA,Brazil,9.0,9.0,9.0
2012,BRA,Brazil,9.0,9.0,9.333333333333334
2013,BRA,Brazil,9.0,9.0,9.666666666666666
2014,BRA,Brazil,9.0,9.0,10.0
2015,BRA,Brazil,9.0,10.0,11.0
2016,BRA,Brazil,12.0,12.0,12.0
2017,BRA,Brazil,12.0,12.0,12.5
2018,BRA,Brazil,13.0,12.0,13.0
2019,BRA,Brazil,13.0,12.0,13.0
2020,BRA,Brazil,13.0,12.0,13.0
2021,BRA,Brazil,12.4471135331835,12.0,12.600058628843156
2022,BRA,Brazil,12.4471135331835,12.0,12.600058628843156
2023,BRA,Brazil,12.600411731075004,12.0,13.0
2024,BRA,Brazil,12.4471135331835,12.0,12.600058628843156
2006,BRB,Barbados,,15.05354162370891,14.32271012455651
2007,BRB,Barbados,,15.05354162370891,14.32271012455651
2008,BRB,Barbados,,15.05354162370891,14.32271012455651
2009,BRB,Barbados,,10.0,10.144831631493007
2010,BRB,Barbados,,10.333333333333334,10.0
2011,BRB,Barbados,,10.666666666666666,10.5
2012,BRB,Barbados,,11.0,11.0
2013,BRB,Barbados,,13.0,13.0
2014,BRB,Barbados,,16.0,15.0
2015,BRB,Barbados,,16.5,15.5
2016,BRB,Barbados,,17.0,16.0
2017,BRB,Barbados,,19.0,17.0
2018,BRB,Barbados,,18.0,16.5
2019,BRB,Barbados,,17.0,16.0
2020,BRB,Barbados,,17.0,16.0
2021,BRB,Barbados,,17.0,16.0
2022,BRB,Barbados,,16.5,15.518530361411097
2023,BRB,Barbados,,16.0,16.0
2024,BRB,Barbados,,15.856665979342502,15.0
2006,BWA,Botswana,,6.231601870456803,7.471259388721521
2007,BWA,Botswana,,6.231601870456803,7.471259388721521
2008,BWA,Botswana,,6.231601870456803,7.471259388721521
2009,BWA,Botswana,,6.0,7.382673770480347
2010,BWA,Botswana,,6.0,7.0
2011,BWA,Botswana,,6.0,7.1
2012,BWA,Botswana,,6.01082431593843,7.2
2013,BWA,Botswana,,6.231601870456803,7.471259388721521
2014,BWA,Botswana,,6.231601870456803,7.471259388721521
2015,BWA,Botswana,,6.0,7.382673770480347
2016,BWA,Botswana,,6.0,7.382673770480347
2017,BWA,Botswana,,6.0,7.382673770480347
2018,BWA,Botswana,,6.0,7.382673770480347
2019,BWA,Botswana,,6.0,7.382673770480347
2020,BWA,Botswana,,6.0,8.0
2021,BWA,Botswana,,7.0,8.0
2022,BWA,Botswana,,7.0,7.7651647152488446
2023,BWA,Botswana,,7.0,7.7651647152488446
2024,BWA,Botswana,,6.231601870456803,7.471259388721521
2006,CAN,Canada,9.3947152181023,8.091707209551746,8.600357392999129
2007,CAN,Canada,9.3947152181023,8.091707209551746,8.600357392999129
2008,CAN,Canada,11.0,8.610223081512629,9.1486283995397
2009,CAN,Canada,10.5,8.448799480866837,8.977896850723528
2010,CAN,Canada,10.0,10.0,10.0
2011,CAN,Canada,9.0,9.5,9.5
2012,CAN,Canada,9.0,9.0,9.0
2013,CAN,Canada,9.0,9.0,8.857142857142858
2014,CAN,Canada,9.0,9.0,8.714285714285714
2015,CAN,Canada,9.0,9.0,8.976943711377233
2016,CAN,Canada,9.0,1.0,5.027117218269401
2017,CAN,Canada,9.0,9.0,8.976943711377233
2018,CAN,Canada,9.0,1.0,5.027117218269401
2019,CAN,Canada,9.0,8.0,8.0
2020,CAN,Canada,9.0,8.0,9.0
2021,CAN,Canada,10.0,9.0,9.0
2022,CAN,Canada,9.399651949253403,9.0,9.0
2023,CAN,Canada,9.403798485676663,10.0,9.0
2024,CAN,Canada,9.406708272809023,10.0,10.0
2006,CHE,Switzerland,1.0,1.0,
2007,CHE,Switzerland,1.0,1.0,
2008,CHE,Switzerland,1.0,1.0,
2009,CHE,Switzerland,1.0,1.0,
2010,CHE,Switzerland,1.0,1.0,
2011,CHE,Switzerland,1.0,1.0,
2012,CHE,Switzerland,1.0,1.0,
2013,CHE,Switzerland,1.0,1.0,
2014,CHE,Switzerland,1.0,1.0,
2015,CHE,Switzerland,1.0,1.0,
2016,CHE,Switzerland,1.0,1.0,
2017,CHE,Switzerland,1.0,1.0,
2018,CHE,Switzerland,1.0,1.0,
2019,CHE,Switzerland,1.0,1.0,
2020,CHE,Switzerland,1.0,1.0,
2021,CHE,Switzerland,1.0,1.0,
2022,CHE,Switzerland,1.0,1.0,
2023,CHE,Switzerland,1.0,1.0,
2024,CHE,Switzerland,1.0,1.0,
2006,CHL,Chile,6.69235519020187,6.0,5.850223214671004
2007,CHL,Chile,6.0,5.666666666666667,5.0
2008,CHL,Chile,6.0,5.333333333333333,4.8
2009,CHL,Chile,5.666666666666667,5.0,4.6
2010,CHL,Chile,5.333333333333333,4.0,4.491389281715701
2011,CHL,Chile,5.0,4.0,4.13908233884858
2012,CHL,Chile,5.0,4.0,4.0
2013,CHL,Chile,5.0,4.0,4.2
2014,CHL,Chile,5.0,4.0,4.4
2015,CHL,Chile,5.0,4.0,4.13908233884858
2016,CHL,Chile,5.0,4.0,4.13908233884858
2017,CHL,Chile,6.0,4.0,5.0
2018,CHL,Chile,6.0,5.0,5.25
2019,CHL,Chile,6.0,5.0,5.5
2020,CHL,Chile,6.0,5.0,5.157230880403167
2021,CHL,Chile,6.67956073048973,5.5,6.0
2022,CHL,Chile,6.797982267018538,6.0,6.0
2023,CHL,Chile,6.797982267018538,6.0,6.0
2024,CHL,Chile,6.797982267018538,6.0,6.0
2006,CHN,China,6.0,7.829565664341423,8.03861752791034
2007,CHN,China,5.0,5.0,4.994312562352926
2008,CHN,China,5.0,4.666666666666667,4.730841430287218
2009,CHN,China,5.0,4.333333333333333,4.467370298221509
2010,CHN,China,4.7803374771525,4.0,4.0
2011,CHN,China,5.0,4.0,4.142857142857143
2012,CHN,China,5.0,4.0,4.285714285714286
2013,CHN,China,5.0,4.0,4.203899166155801
2014,CHN,China,5.0,4.0,4.203899166155801
2015,CHN,China,5.0,4.0,4.203899166155801
2016,CHN,China,5.0,4.0,4.203899166155801
2017,CHN,China,5.0,5.0,5.0
2018,CHN,China,5.0,5.0,4.994312562352926
2019,CHN,China,5.0,5.0,4.994312562352926
2020,CHN,China,5.091530862109792,5.0,5.068249211949722
2021,CHN,China,5.091530862109792,5.0,5.068249211949722
2022,CHN,China,5.091530862109792,5.0,5.068249211949722
2023,CHN,China,5.091530862109792,5.0,5.068249211949722
2024,CHN,China,5.063692273643983,4.712753648018956,4.8187184380261785
2006,COL,Colombia,12.0,10.68599119214392,10.18598053979968
2007,COL,Colombia,11.0,10.105796762788408,10.131001953315694
2008,COL,Colombia,11.0,11.0,9.197185229568358
2009,COL,Colombia,11.0,10.666666666666666,9.545285335110089
2010,COL,Colombia,11.0,10.333333333333334,9.893385440651818
2011,COL,Colombia,10.0,10.0,10.0
2012,COL,Colombia,10.0,10.0,9.5
2013,COL,Colombia,10.0,10.0,9.0
2014,COL,Colombia,9.0,9.0,9.25
2015,COL,Colombia,9.0,9.0,9.5
2016,COL,Colombia,9.0,9.0,9.964034237290504
2017,COL,Colombia,9.0,9.0,10.0
2018,COL,Colombia,9.0,9.0,10.25
2019,COL,Colombia,9.0,9.0,10.5
2020,COL,Colombia,10.0,9.0,10.624910050054622
2021,COL,Colombia,11.0,9.0,11.0
2022,COL,Colombia,10.13995751038107,9.0,11.0
2023,COL,Colombia,10.13995751038107,9.0,11.0
2024,COL,Colombia,10.13995751038107,9.0,11.0
2006,CRI,Costa Rica,12.0,12.048709744664995,13.518292842685687
2007,CRI,Costa Rica,11.8,11.790653594121736,13.399769124766728
2008,CRI,Costa Rica,11.6,11.532597443578474,13.281245406847766
2009,CRI,Costa Rica,12.15039630541022,12.242886710131408,13.60745264197945
2010,CRI,Costa Rica,10.653398628785505,10.0,12.639252389393356
2011,CRI,Costa Rica,11.0,10.0,12.728230949258682
2012,CRI,Costa Rica,11.0,10.0,12.728230949258682
2013,CRI,Costa Rica,11.0,10.0,12.728230949258682
2014,CRI,Costa Rica,11.0,11.0,12.988562906407232
2015,CRI,Costa Rica,11.0,11.0,12.988562906407232
2016,CRI,Costa Rica,11.0,11.0,13.0
2017,CRI,Costa Rica,12.0,12.0,13.5
2018,CRI,Costa Rica,12.0,14.0,14.0
2019,CRI,Costa Rica,14.0,14.5,14.5
2020,CRI,Costa Rica,15.0,15.0,15.0
2021,CRI,Costa Rica,14.333333333333334,15.0,15.0
2022,CRI,Costa Rica,13.666666666666666,14.5,15.0
2023,CRI,Costa Rica,13.0,14.0,14.0
2024,CRI,Costa Rica,12.653734868598354,13.0,13.933769131345954
2006,CYP,Cyprus,9.922304519509566,10.583333333333334,9.715648309650064
2007,CYP,Cyprus,4.0,5.0,5.3749076747506255
2008,CYP,Cyprus,4.75,4.0,4.952177983179345
2009,CYP,Cyprus,5.5,4.666666666666667,5.478871436237016
2010,CYP,Cyprus,5.827448810962392,5.333333333333333,5.922787564784385
2011,CYP,Cyprus,7.0,6.0,8.0
2012,CYP,Cyprus,10.0,11.0,11.0
2013,CYP,Cyprus,15.0,19.0,18.0
2014,CYP,Cyprus,16.0,19.0,15.0
2015,CYP,Cyprus,16.0,14.0,13.0
2016,CYP,Cyprus,14.0,14.0,12.0
2017,CYP,Cyprus,13.0,13.0,11.0
